completed_enrollment_index,mean_attempt_count
1,0.0
1853,0.31462493254182405
3706,0.40744738262277386
5558,0.45052177042101477
7411,0.528808527863986
9263,0.5756234481269568
11116,0.6276538323137819
12969,0.6816254144498419
14821,0.7189123540921665
16674,0.7487705409619767
18526,0.7893231134621613
20379,0.7443446685313313
22232,0.7199982007916517
24084,0.709309084869623
25937,0.7123028877665112
27789,0.719097484616215
29642,0.7273800688212672
31494,0.7422366164983807
33347,0.7561399826071311
35200,0.7685795454545454
37052,0.790186764547123
38905,0.7687957846035214
40757,0.7533920553524548
42610,0.7453649378080263
44463,0.7459460675168117
46315,0.7470797797689733
48168,0.7511833582461385
50020,0.7596361455417833
51873,0.7662367705742872
53725,0.7747231270358306
55578,0.7871280002878837
57431,0.7724051470460205
59283,0.7633554307305636
61136,0.7581784873069877
62988,0.7585889375754112
64841,0.7593497941117503
66694,0.7610729600863646
68546,0.7678930936889097
70399,0.7725535874089121
72251,0.7798923198294834
74104,0.7893770916549714
75956,0.7800832060666701
77809,0.7716073976018198
79662,0.7670658532298963
81514,0.7667271879677111
83367,0.7665143282114026
85219,0.7682207019561366
87072,0.772808710033076
88925,0.7758673039077875
90777,0.7811890677153904
92630,0.787628198207924
94482,0.7809847378336614
96335,0.7739554678984792
98187,0.7705500728202308
100040,0.7703118752499001
101893,0.7704258388701873
103745,0.7725191575497614
105598,0.7772779787495975
107450,0.7797766402978129
109303,0.7843700538869015
111156,0.7909964374392745
113008,0.7855815517485488
114861,0.7800471874700725
116713,0.7768457669668332
118566,0.7770946139702781
120418,0.777101430018768
122271,0.7788273588994937
124124,0.7810254261867166
125976,0.7834587540483902
127829,0.7868949925290818
129681,0.7919587294977676
131534,0.7864962671248499
133387,0.7814404702107401
135239,0.7781113436212926
137092,0.7775143699121758
138944,0.7765358705665591
140797,0.7775733857965724
142649,0.7795077427812322
144502,0.7802729373987903
146355,0.7838269960028698
148207,0.7881071744249597
150060,0.7849127015860322
151912,0.7800832060666701
153765,0.7773745650830813
155618,0.7765297073603311
157470,0.7758239664698038
159323,0.7773893285966245
161175,0.7793392275476966
163028,0.7808658635326446
164880,0.7839883551673945
166733,0.7875225660187245
168586,0.7847982632009776
170438,0.7803013412501907
172291,0.7784039793140675
174143,0.7779124053220628
175996,0.7768187913361667
177849,0.7783850344955552
179701,0.7804018898058441
181554,0.7820042521784152
183406,0.7845599380609141
185259,0.7887659978732477
187111,0.7856299202077911
188964,0.7818049998941597
190817,0.7797732906397229
192669,0.7796012851055437
194522,0.7795467864817347
196374,0.7804444580239747
198227,0.7832182296054523
200080,0.7850109956017592
201932,0.7871659766654121
203785,0.7898863998822289
205637,0.7861328457427409
207490,0.7831847317943034
209342,0.7815249687114865
211195,0.7814152797177963
213048,0.7812089294431301
214900,0.781270358306189
216753,0.7832509815319741
218605,0.785032364310057
220458,0.7870841611554128
222311,0.7899429178043371
224163,0.7865303372991974
226016,0.7839002548492142
227868,0.7821106956659118
229721,0.7821879584365382
231573,0.7820341749685844
233426,0.7827405687455553
235279,0.7847916728649815
237131,0.7859495384407774
238984,0.7871154554279784
240836,0.7894293211978276
242689,0.7866817202262979
244542,0.7839471338256823
246394,0.7823567132316533
248247,0.7821605094925619
250099,0.7820343144114931
251952,0.7826133549247476
253804,0.7845463428472365
255657,0.7862057365923875
257510,0.7877674653411518
259362,0.7903046706919287
261215,0.7875964244013552
263067,0.7851079762950123
264920,0.7838592782726861
266773,0.7832201909488592
268625,0.7832591903210796
270478,0.7835683493666767
272330,0.785609370983733
274183,0.7868576826426146
276035,0.7883420580723459
277888,0.7905882945647167
279741,0.7881504677541011
281593,0.7857901297262361
283446,0.7843892663858372
285298,0.7843062341832049
287151,0.7843364640903219
289004,0.7847054020013564
290856,0.7862309871551558
292709,0.7868292399618734
294561,0.7878673687283788
296414,0.789851356548611
298266,0.7870625549006591
300119,0.7847287242727051
301972,0.7834136939848728
303824,0.7834074990784138
305677,0.7829015594892648
307529,0.783402540898582
309382,0.7846093179305842
311235,0.7855157678281685
313087,0.7869090700029066
314940,0.7891376135136852
316792,0.786913810954822
318645,0.7848138210233959
320497,0.7836578813530236
322350,0.7835675507988211
324203,0.7835522805156029
326055,0.7840026989311619
327908,0.7849732241970309
329760,0.7858897379912664
331613,0.7868087198029028
333466,0.7884342031871315
335318,0.7861343560441133
337171,0.7840976833713457
339023,0.783185801553287
340876,0.7832936317018505
342728,0.7832625288858803
344581,0.7834239264498043
346434,0.7843312146036474
348286,0.7851449670672953
350139,0.7862991554782529
351991,0.7881735612558276
353844,0.7864567436497439
355697,0.7845469599125098
357549,0.7834394726317232
359402,0.7832065486558227
361254,0.7829394276603165
363107,0.7832567259788437
364959,0.7844305798733556
366812,0.7852033194115787
368665,0.7862748023273162
370517,0.7879503504562544
372370,0.786124016435266
374222,0.7840212494187941
376075,0.783141660573024
377928,0.783003640905146
379780,0.7829006266786034
381633,0.7829826037056544
383485,0.7842027719467515
385338,0.7849939533604264
387190,0.7859526330742013
389043,0.7876584336435818
390896,0.7858612009332405
392748,0.784039638648701
394601,0.7829275648059686
396453,0.782955356624871
398306,0.7827800736117457
400159,0.7832111735585104
402011,0.7844511717341068
403864,0.7851900639819345
405716,0.7865428033402676
407569,0.7882861552277037
409421,0.7869283695755713
411274,0.785221044850878
413127,0.7841414383470459
414979,0.7840469035782534
416832,0.7835003070781514
418684,0.783989834815756
420537,0.7847894477774845
422390,0.785392646606217
424242,0.7866972152686439
426095,0.7880144099320574
427947,0.7872213147889808
429800,0.7855258259655654
431652,0.7846297480377712
433505,0.7841293641365151
435358,0.7837917300244855
437210,0.7842684293588893
439063,0.7848759745184631
440915,0.7852987537280428
442768,0.7863282802731905
444621,0.7875718870678623
446473,0.7868426534191317
448326,0.785125109853098
450178,0.7843675168488908
452031,0.7841895799181915
453883,0.784043464945812
455736,0.7844695174399213
457589,0.7849970169737471
459441,0.7854000840151402
461294,0.7865461072548093
463146,0.7876544329433915
464999,0.7872404026675326
466852,0.7856301354604885
468704,0.7848258175735645
470557,0.784604203103981
472409,0.7843605858482797
474262,0.7847497796576576
476114,0.7855387575244585
477967,0.7862153663328222
479820,0.7871347588679088
481672,0.7883497483764885
483525,0.7873594953725247
485377,0.7857170817735493
487230,0.7849455082815098
489083,0.7846418706027403
490935,0.7844623015266787
492788,0.7847471935193228
494640,0.7853833090732654
496493,0.7858862058478165
498345,0.7869488005297535
500198,0.7880659258933462
502051,0.7870116780964483
503903,0.7855182445827867
505756,0.7846669144805005
507608,0.784475421979165
509461,0.7841346050041121
511314,0.7846196270784684
513166,0.7854417478944435
515019,0.7858447940755584
516871,0.7868539732351012
518724,0.7878717776698205
520576,0.7869340883943939
522429,0.7856053167033223
524282,0.7847227255560939
526134,0.7844883622803316
527987,0.7846500008522937
529839,0.7847761301074477
531692,0.7855468955711201
533545,0.7860330431360054
535397,0.7868983203118434
537250,0.7881247091670545
539102,0.7869679578261628
540955,0.7855644184821289
542807,0.7846877435257835
544660,0.7845995667021628
546513,0.7844680730376039
548365,0.7849753357708825
550218,0.7859303039886009
552070,0.7865995254225008
553923,0.7873476999510762
555776,0.7884237534546292
557628,0.7871807011125697
559481,0.7858318691787567
561333,0.7851150742963624
563186,0.7849840017329976
565038,0.7849985310722465
566891,0.7852232616146667
568744,0.7858104876710788
570596,0.7861569306479541
572449,0.7869958721213592
574301,0.7879787776793006
576154,0.786961472106416
578007,0.7856859865018936
579859,0.7849597919494222
581712,0.7848471408532057
583564,0.7847879581331267
585417,0.78510873445766
587269,0.7857676805688705
589122,0.7861614402449747
590975,0.786921612589365
592827,0.787956688882254
594680,0.7870014125243828
596532,0.785795229761354
598385,0.7850982227161443
600238,0.7850452653780667
602090,0.7849407895829528
603943,0.7853141770001474
605795,0.7860233247220595
607648,0.7864454420980568
609500,0.7872436423297785
611353,0.7883988464929427
613206,0.7873504173148991
615058,0.7862543044720985
616911,0.7856838344591035
618763,0.7856578366838354
620616,0.7856420072959769
622469,0.7857853162165506
624321,0.7863967414198786
626174,0.7869282340052446
628026,0.7875661198740179
629879,0.788616543812383
631732,0.7875127427453413
633584,0.7863550847243618
635437,0.785771052047646
637289,0.7857675246238363
639142,0.7856782999708984
640994,0.7859137527028334
642847,0.7865526322748648
644700,0.7870653016907089
646552,0.7876427572724236
648405,0.7886521541320626
650257,0.787639348749802
652110,0.786597353207281
653963,0.7860307081593301
655815,0.7859991003560455
657668,0.7861322126057525
659520,0.7863658418243571
661373,0.7870097509272377
663225,0.7874431753929662
665078,0.7881466534752315
666931,0.7891536005973632
668783,0.7879342028729798
670636,0.7869455263361943
672488,0.7863768572822117
674341,0.7862476106302301
676194,0.7860347770018663
678046,0.7861546266772461
679899,0.78667566800363
681751,0.787225834652241
683604,0.7878420840135517
685456,0.7888515090684157
687309,0.7876879249362368
689162,0.7867221349987376
691014,0.7861157661060413
692867,0.7860816000762051
694719,0.7861005672797203
696572,0.7860292977610355
698425,0.7864724200880553
700277,0.7870199935168511
702130,0.7876689501944084
703982,0.7884747053191701
705835,0.7874219895584662
707687,0.7864903551994031
709540,0.785900724413
711393,0.7858342716332604
713245,0.785802914846932
715098,0.7860209369904545
716950,0.786499755910454
718803,0.7869040613353033
720656,0.78737705645967
722508,0.7883179148189363
724361,0.7872911435044129
726213,0.7863257749448165
728066,0.7857048674158661
729918,0.7856937354606955
731771,0.7854328744921567
733624,0.7855222838947472
735476,0.7860773159151352
737329,0.7864169183634443
739181,0.7870048066711671
741034,0.7878167533473498
742887,0.7868774120424775
744739,0.7859384294363528
746592,0.7854102374523166
748444,0.7853667074624153
750297,0.785313016045646
752149,0.7854135284365199
754002,0.7859806737913162
755855,0.7863809857710804
757707,0.7868001747377285
759560,0.7876862920638265
761412,0.78678691693853
763265,0.7858764649237159
765118,0.7853572912936305
766970,0.7853827398724852
768823,0.7853342056624216
770675,0.7855438414377007
772528,0.7860465898970652
774380,0.7863529533304062
776233,0.7869080546691521
778086,0.7878486439802284
779938,0.7868920350079109
781791,0.7860297701047978
783643,0.7854928838769695
785496,0.7854693085642702
787349,0.7853455075195371
789201,0.7854906418010114
791054,0.7860082876769474
792906,0.7863328061586115
794759,0.7870322953247463
796611,0.7878098595173805
798464,0.7868720443251042
800317,0.7860572748048585
802169,0.7855551635627904
804022,0.7854250256833768
805874,0.7854689442766487
807727,0.7856008280025305
809580,0.7860582030188493
811432,0.7863591773555887
813285,0.7868311846400708
815137,0.7876516462876793
816990,0.7867893119866828
818842,0.7860270968025578
820695,0.7855208085829694
822548,0.7854568973482399
824400,0.7854924793789423
826253,0.7856382972285728
828105,0.7862215540299842
829958,0.7866205277857434
831811,0.7869443900116734
833663,0.7878171395395981
835516,0.786888581427525
837368,0.7860797164448605
839221,0.7855916379594886
841073,0.785544179874993
842926,0.78544854471211
844779,0.785547462709182
846631,0.7860331124185153
848484,0.7863589649303935
850336,0.7869030594964814
852189,0.7876785548745642
854042,0.7868254722835645
855894,0.7859875171458148
857747,0.7855183404896782
859599,0.7853813231518417
861452,0.7853368498767198
863304,0.7854139445664563
865157,0.7859047548595226
867010,0.7863035028431045
868862,0.7867371343205251
870715,0.787424128446162
872567,0.7866582165037184
874420,0.7858523364058462
876273,0.7853865176720041
878125,0.7853221352313168
879978,0.7853105418544555
881830,0.7854200923080412
883683,0.7859006001020729
885535,0.7862286640279605
887388,0.7867291421565313
889241,0.7874310788638851
891093,0.7868213531023137
892946,0.7859489823572758
894798,0.7855404236486895
896651,0.7854349128033092
898504,0.7854333425338118
900356,0.7856347933484088
902209,0.7859243257382713
904061,0.7861560226577632
905914,0.7867490733115947
907766,0.7875146238127447
909619,0.7868305301450388
911472,0.786054865097337
913324,0.7856565687532573
915177,0.7855933879457198
917029,0.7855258666846959
918882,0.7857080669770439
920735,0.7862229631761581
922587,0.7864342333026587
924440,0.7868709705335122
926292,0.7877127298951087
928145,0.7868792052965862
929997,0.7861562994289228
931850,0.7856768793260718
933703,0.7856374029000657
935555,0.7855444094681766
937408,0.7857645763637605
939260,0.786189127611098
941113,0.7864092834760544
942966,0.7868777877463239
944818,0.7875410925702093
946671,0.7867611873607621
948523,0.7860304916169666
950376,0.7856406306556563
952228,0.785448443019949
954081,0.7853756651688902
955934,0.7855312186824613
957786,0.7859824637236292
959639,0.7862800490601153
961491,0.7866989914622186
963344,0.7874134265641349
965197,0.7868310821521409
967049,0.7860273884777297
968902,0.7856687260424687
970754,0.7856799971980543
972607,0.7857500511511843
974459,0.7858616935140421
976312,0.7862957743016576
978165,0.7864716075508733
980017,0.7869149208636177
981870,0.7876887979060364
983722,0.786975385322276
985575,0.7863287928366689
987428,0.785925657364385
989280,0.7858836729742843
991133,0.7858249094722908
992985,0.7859967673227692
994838,0.7864104507467548
996690,0.7866608474049103
998543,0.7870056672571938
1000396,0.787685076709623
1002248,0.7869988266377184
1004101,0.7862784719863838
1005953,0.7858508300089567
1007806,0.7858546188452936
1009659,0.7857672739013865
1011511,0.7859489417317261
1013364,0.7864469233167943
1015216,0.7867576949141858
1017069,0.7870567286978563
1018921,0.7877539083010361
1020774,0.7870449286521796
1022627,0.7863688324286372
1024479,0.7860122071804303
1026332,0.7859240479688834
1028184,0.7858058479805171
1030037,0.7859028365000481
1031890,0.7862475651474479
1033742,0.7864796051626034
1035595,0.7868268966149895
1037447,0.7876026437977073
1039300,0.7869075339170596
1041152,0.7862732819031227
1043005,0.785899396455434
1044858,0.7858130004268523
1046710,0.7857840280497941
1048563,0.7858802952230814
1050415,0.7864329812502677
1052268,0.7867358885759141
1054121,0.7871999514287259
1055973,0.7878032866370637
1057826,0.7869942693788959
1059678,0.7864492798755849
1061531,0.7860655977074621
1063383,0.7860902421799107
1065236,0.7861666334971781
1067089,0.7863158555659369
1068941,0.7867253665075996
1070794,0.7870673537580525
1072646,0.7874583040443912
1074499,0.7880035253639138
1076352,0.7872099461886074
1078204,0.7866720954476147
1080057,0.7862807240728962
1081909,0.786238029261241
1083762,0.7862953305245985
1085614,0.7864323783591589
1087467,0.7867116887225084
1089320,0.7871075533360261
1091172,0.7872800988295154
1093025,0.7879581894284211
1094877,0.787189793922057
1096730,0.7866557858360763
1098583,0.786257387926083
1100435,0.7861845542898944
1102288,0.7862219311105627
1104140,0.7863441230278769
1105993,0.7866867150153753
1107845,0.7869990838068502
1109698,0.787395309354437
1111551,0.7879998308669598
1113403,0.7872468459308983
1115256,0.7866543645584512
1117108,0.7862337392624527
1118961,0.7862150691579063
1120814,0.7861937841604405
1122666,0.7863318208621264
1124519,0.7866723461319907
1126371,0.7870044594543005
1128224,0.7873206030008225
1130076,0.7878532063330254
1131929,0.7871951332636588
1133782,0.78659565948304
1135634,0.7861907973871863
1137487,0.7861733804430292
1139339,0.786140033826631
1141192,0.7862261565100351
1143045,0.7865044683280186
1144897,0.7866960958059983
1146750,0.7871218661434489
1148602,0.7877376149440799
1150455,0.7871198786567054
1152307,0.7865811801889601
1154160,0.7862332778817495
1156013,0.7862359679346167
1157865,0.7861650537843359
1159718,0.7863385754122985
1161570,0.786734333703522
1163423,0.7869751586482303
1165276,0.7873362190588324
1167128,0.787899013647175
1168981,0.7873506926117704
1170833,0.7867509713170026
1172686,0.7863920947295354
1174538,0.7863440774159712
1176391,0.7862674909957659
1178244,0.7863871999348182
1180096,0.7866936249254298
1181949,0.7869518904792
1183801,0.7873257414041718
1185654,0.7879381337219796
1187507,0.787215570097692
1189359,0.7866901414963858
1191212,0.7864049388354046
1193064,0.786390336142906
1194917,0.7864462552629179
1196769,0.7865410952322461
1198622,0.7870004054656097
1200475,0.7872550448780691
1202327,0.7875095543891137
1204180,0.7879652543639655
1206032,0.7872519137137323
1207885,0.786758673218063
1209738,0.7864826929467372
1211590,0.7864747975800395
1213443,0.7865445678124148
1215295,0.7866230009997572
1217148,0.7869675668037084
1219000,0.7873543888433142
1220853,0.787528064394321
1222706,0.7879809210063581
1224558,0.7872342510522163
1226411,0.7867957805336058
1228263,0.7864537155316085
1230116,0.7864103873130665
1231969,0.7865116735891894
1233821,0.786594651898452
1235674,0.7869397591921494
1237526,0.7873378013876072
1239379,0.7876137969095813
1241232,0.7879034701006742
1243084,0.7872026347374755
1244937,0.7868020630762842
1246789,0.7865268301212154
1248642,0.7864896423474462
1250494,0.7866475169013206
1252347,0.7867915202415944
1254200,0.787084994418753
1256052,0.7876122963062039
1257905,0.7879323160334047
1259757,0.788151206939116
1261610,0.7874921726999627
1263463,0.7871105050167674
1265315,0.7867858991634494
1267168,0.7867054723604131
1269020,0.7868394509148792
1270873,0.7869543219503443
1272725,0.7872674772633522
1274578,0.7877014980644574
1276431,0.7879493681992995
1278283,0.7881642797408711
1280136,0.787509295887312
1281988,0.7872288976183864
1283841,0.7870406070533656
1285694,0.7869446384598513
1287546,0.7870584817940485
1289399,0.787153549832131
1291251,0.7874015199213785
1293104,0.7877865972110518
1294956,0.7880931861777543
1296809,0.7882425245352246
1298662,0.7875705918861104
1300514,0.7872287418666774
1302367,0.786942543845168
1304219,0.7868655494207645
1306072,0.787017867315125
1307925,0.7870917674943135
1309777,0.7873332636013611
1311630,0.7877061366391437
1313482,0.7879993787505273
1315335,0.7881490266738131
1317187,0.7875115682131695
1319040,0.787186135371179
1320893,0.7869130959131436
1322745,0.7868084929445963
1324598,0.7869610251563116
1326450,0.7869629462098081
1328303,0.787232280586583
1330156,0.7876534782386427
1332008,0.7879299523726584
1333861,0.7880041473586828
1335713,0.787392950431717
1337566,0.7870527510418177
1339418,0.7868126305604375
1341271,0.7867224446066455
1343124,0.7868700134909361
1344976,0.7868973126658022
1346829,0.7871229383982673
1348681,0.7875242551796904
1350534,0.7878476217555426
1352387,0.7879845044354907
1354239,0.7873462512894696
1356092,0.7870269863696563
1357944,0.7867165361752767
1359797,0.7866409471413748
1361649,0.7867835249759666
1363502,0.7868004594052668
1365355,0.7870941989445969
1367207,0.7874915795486711
1369060,0.7877748236015952
1370912,0.7880359935575734
1372765,0.7873809428416372
1374618,0.7870251953633665
1376470,0.7867414473254049
1378323,0.7866973126037946
1380175,0.7867610991359791
1382028,0.7867279099989292
1383880,0.7870270543688759
1385733,0.7873176145765454
1387586,0.7875209176224032
1389438,0.7877854211558918
1391291,0.787210583551536
1393143,0.7868302105383295
1394996,0.7864775239498895
1396849,0.7864364723746089
1398701,0.7865340769757082
1400554,0.7866437138446644
1402406,0.7868662855121841
1404259,0.7871945275052536
1406111,0.7874812159210759
1407964,0.7878908835737277
1409817,0.7872780651673231
1411669,0.7868785104723558
1413522,0.7865834419273277
1415374,0.7865694862276684
1417227,0.7866213387128527
1419080,0.786662485554021
1420932,0.7869060588402541
1422785,0.7872637116640954
1424637,0.7874483113944113
1426490,0.7878498973003666
1428342,0.7871896226533981
1430195,0.7867990029331664
1432048,0.7864862071662403
1433900,0.7864753469558546
1435753,0.7866053562137777
1437605,0.7867640972311588
1439458,0.7870323413395875
1441311,0.7874504530944397
1443163,0.7876961923220038
1445016,0.7879227634849718
1446868,0.7873337443360418
1448721,0.7870576874360211
1450573,0.786784256979828
1452426,0.7867677940218641
1454279,0.7868895858360053
1456131,0.7869250774827264
1457984,0.7872308612440191
1459836,0.7876069640699366
1461689,0.7877948045035572
1463542,0.7879562048783021
1465394,0.7873800493246185
1467247,0.7870610742431233
1469099,0.7867733896762573
1470952,0.7867095595233563
1472804,0.7869064722800861
1474657,0.7870331880566125
1476510,0.7872523721478351
1478362,0.7876311755848703
1480215,0.7878531159324828
1482067,0.7879211938461621
1483920,0.7874002641651842
1485773,0.7871370660255638
1487625,0.7869563902193093
1489478,0.7868944690690296
1491330,0.7869559386587811
1493183,0.7870743237767909
1495035,0.7872297304076493
1496888,0.7875799659025926
1498741,0.7878812950336316
1500593,0.7879185095492248
1502446,0.7873567502592439
1504298,0.7870468484302977
1506151,0.786892549286227
1508004,0.7868274885212506
1509856,0.7869697507576882
1511709,0.7870767455905866
1513561,0.7872170332084403
1515414,0.7876039154976792
1517266,0.787925123215046
1519119,0.7879507793661984
1520972,0.7874096301575572
1522824,0.7870929273507641
1524677,0.7868709241367188
1526529,0.7867855769526816
1528382,0.7868615306906258
1530235,0.7869065862432895
1532087,0.7870590899864042
1533940,0.7874167177334185
1535792,0.7876952087261817
1537645,0.7877195321416842
1539497,0.7871571039112125
1541350,0.7868822785220748
1543203,0.7866774494347146
1545055,0.7866179521117371
1546908,0.7868186084757465
1548760,0.7869205041452517
1550613,0.7870745311692859
1552466,0.7874587913680557
1554318,0.7876824433610111
1556171,0.7877546876275165
1558023,0.7872181604507764
1559876,0.7869657588167265
1561728,0.7868719777067453
1563581,0.7868853612316855
1565434,0.7870175299629368
1567286,0.7871734960945226
1569139,0.7872680495481917
1570991,0.7876486879937568
1572844,0.7879128508612424
1574697,0.7878061620743546
1576549,0.7872739762608076
1578402,0.7870003966036536
1580254,0.7868266746991307
1582107,0.7867641063467894
1583959,0.7868757966588782
1585812,0.7870245653330912
1587665,0.7871396043875755
1589517,0.7874863873742779
1591370,0.7877288122812419
1593222,0.7876843277333605
1595075,0.7871560898390357
1596928,0.7868958400128246
1598780,0.7867061134114762
1600633,0.786604424624508
1602485,0.7866969113595447
1604338,0.7867992904238383
1606190,0.7870494773345619
1608043,0.7873869044546694
1609896,0.7876266541441186
1611748,0.7877205369573904
1613601,0.7871915052110157
1615453,0.7869130206821244
1617306,0.786697755403121
1619159,0.7866744402495369
1621011,0.7867744265769943
1622864,0.7868404253221465
1624716,0.7870520140135261
1626569,0.787412645882222
1628421,0.7877195147937788
1630274,0.7876338578668372
1632127,0.7871237961261593
1633979,0.7869036260563936
1635832,0.7867030355195399
1637684,0.7865711578057794
1639537,0.786761750421003
1641390,0.7868556528308324
1643242,0.7870198059689322
1645095,0.7874116692349074
1646947,0.7877065867936248
1648800,0.787701358563804
1650652,0.7872234729064637
1652505,0.7869725053781985
1654358,0.7868030982411304
1656210,0.7867426232180702
1658063,0.7868748051189852
1659915,0.7869686098384556
1661768,0.7870791831350706
1663621,0.7874678186918775
1665473,0.7877479851069336
1667326,0.7877193782139785
1669178,0.7872234117631552
1671031,0.7869913843609125
1672883,0.7868601689418806
1674736,0.7868075923608259
1676589,0.7869620998348432
1678441,0.7871512909896744
1680294,0.787302698218288
1682146,0.7876052375953098
1683999,0.787868638876864
1685852,0.7877957258407025
1687704,0.7873116375857377
1689557,0.7871128349028769
1691409,0.7870053901806128
1693262,0.7869366937898565
1695114,0.7870532601347165
1696967,0.7872097689583828
1698820,0.7873600499170013
1700672,0.7877333195348662
1702525,0.7880042877490786
1704377,0.7879107732620189
1706230,0.7874553840924142
1708083,0.7872416035988884
1709935,0.7870556483141172
1711788,0.7869426587871863
1713640,0.78702644662823
1715493,0.787088026590607
1717345,0.7872029207876111
1719198,0.7875224377878522
1721051,0.7878145389067495
1722903,0.7877350030733012
1724756,0.7873165827514153
1726608,0.787094696653786
1728461,0.7869868050248169
1730314,0.7869086188980728
1732166,0.7870030932370223
1734019,0.7871689987249275
1735871,0.7873718726794791
1737724,0.7876878031263883
1739576,0.7880322561359779
1741429,0.7878374599251534
1743282,0.7873803549855961
1745134,0.7871653408849979
1746987,0.7870705391625696
1748839,0.7869918271493259
1750692,0.7871276043987178
1752545,0.787346401946883
1754397,0.7875600562472462
1756250,0.7878735943060499
1758102,0.7882910092816002
1759955,0.7880065115301244
1761807,0.7876055663304777
1763660,0.7874295499132485
1765513,0.7874040009900805
1767365,0.7874179923219029
1769218,0.7874654225765282
1771070,0.7877204176006595
1772923,0.7879642827127856
1774776,0.7882121462088737
1776628,0.7886040296561801
1778481,0.7881855358589718
1780333,0.787825086655137
1782186,0.7875928775111015
1784038,0.7875633814974793
1785891,0.7875480642435625
1787744,0.7876116490951725
1789596,0.7878174738879613
1791449,0.7879956392841773
1793301,0.7882067762188277
1795154,0.7885535168570496
1797007,0.788132711781312
1798859,0.7877815882178648
1800712,0.7875507021666985
1802564,0.7875748101038299
1804417,0.7875884565485695
1806269,0.7876080473063536
1808122,0.7878450679766078
1809975,0.7880639235348554
1811827,0.7882502026959528
1813680,0.7885762648317234
1815532,0.7880847046485548
1817385,0.7877389766064978
1819238,0.787491246335004
1821090,0.7874443327897028
1822943,0.7874969211873328
1824795,0.7875454503108569
1826648,0.7876903486604973
1828500,0.7878846048673777
1830353,0.7880594617540988
1832206,0.7883867862019882
1834058,0.7878954754975034
1835911,0.7875387205588942
1837763,0.7873077213982435
1839616,0.7873143090731979
1841469,0.7873138239090639
1843321,0.7873788667302114
1845174,0.7875284390523604
1847026,0.7876889659376749
1848879,0.7878703798355652
1850732,0.7882124478314526
